run,n,mono_ns,high_ns,tsc_cycles
1,65536,7703813,7452062,18958644
2,65536,7584663,7731094,18839796
3,65536,7448459,7714036,18884240
4,65536,7712836,7653818,18851448
5,65536,7716593,7591606,19126664
6,65536,6887479,6929089,17000464
7,65536,6836840,6747818,17135514
8,65536,6818631,6872045,16877816
9,65536,6851225,6741972,17069644
10,65536,5184876,3812263,11470702
11,65536,3666371,3050257,7629582
12,65536,2747179,2627157,6482962
13,65536,2341970,2233774,5623928
14,65536,2193025,2042845,4913424
15,65536,1984336,1796133,4767302
16,65536,1854794,1817300,4393230
17,65536,1604383,1706138,4355214
18,65536,1953708,1604173,4044318
19,65536,1707956,1581388,4399402
20,65536,1672924,1779364,4025334
21,65536,1755783,1671984,4306486
22,65536,1721651,1799730,4524086
23,65536,1724071,1795096,4418320
24,65536,1805264,1953417,4532056
25,65536,1788459,1797134,4623408
26,65536,1921108,1733771,4472600
27,65536,1678136,1669334,4439526
28,65536,1683488,1781123,4256322
29,65536,1787193,1678436,4407376
30,65536,1760141,1805653,4475232
31,65536,1767041,1705989,4320426
32,65536,1804430,1735670,4443268
33,65536,1796259,1752315,4342470
34,65536,1744615,1800662,4304762
35,65536,1832302,1774815,4804674
36,65536,1759609,1767804,4458308
37,65536,1844900,1709532,4285534
38,65536,1676025,1817492,4261876
39,65536,1721297,1673434,4328136
40,65536,1759246,1695463,4563540
41,65536,1728088,1883100,4216340
42,65536,1870055,1700269,4781778
43,65536,1717712,1728014,4412856
44,65536,1717635,1739035,4165324
45,65536,1722290,1712391,4307418
46,65536,1682106,1825051,4264166
47,65536,1764046,2096097,4577080
48,65536,1946150,1973619,4828162
49,65536,1951181,1932891,4870010
50,65536,1953084,1972502,4832456
51,65536,1917511,1858271,4696804
52,65536,1871943,1903557,4730556
53,65536,1874313,1858499,4678796
54,65536,1912636,1891687,4648644
55,65536,1870929,1855655,4686328
56,65536,1868277,1867223,4640470
57,65536,1906398,1984859,4800332
58,65536,1874367,1903093,4639370
59,65536,1871642,1857007,4688630
60,65536,1948011,2396385,4928500
61,65536,2072505,2204820,5063350
62,65536,1948950,1903284,4634180
63,65536,1912430,1862834,4801186
64,65536,1874282,1891212,4649870
65,65536,1873717,1864372,4678660
66,65536,1904164,1886461,4643840
67,65536,1869171,1854787,4799096
68,65536,1869642,1884853,4651094
69,65536,1912003,1864030,4690452
70,65536,1872780,1890750,4641520
71,65536,1871450,1794175,4689386
72,65536,1808114,1872867,4549804
73,65536,1680071,1706989,4214338
74,65536,1724844,1698572,4266574
75,65536,1714983,1753514,4403878
76,65536,1715992,1780112,4180210
77,65536,1773100,1712286,4427280
78,65536,1685020,1824221,4460138
79,65536,1814886,1751730,4322616
80,65536,1760433,1724496,4479774
81,65536,1761482,1706383,4340432
82,65536,1937096,2244359,5009286
83,65536,2205453,2187065,5570380
84,65536,2025775,1803702,4473946
85,65536,1724260,1743494,4240046
86,65536,1652920,1798023,4110282
87,65536,1651397,1639982,4013926
88,65536,1605826,1887007,4338212
89,65536,1645684,1636486,4258226
90,65536,1700838,1662447,3973806
91,65536,1601632,1642559,4123378
92,65536,1602025,1622130,4090122
93,65536,1655656,1642817,4113630
94,65536,1600582,1622390,4075254
95,65536,1643452,1634197,4135664
96,65536,1604197,1709648,4084834
97,65536,1693908,1634395,4012256
98,65536,1604966,1647691,3958512
99,65536,1599631,1726976,4250180
100,65536,1984006,1998882,4923054
101,65536,1981980,1980472,4969274
102,65536,1886248,1994465,4911520
103,65536,1991494,1965954,4966922
104,65536,1982790,2001572,4920340
105,65536,2070974,1964971,4965016
106,65536,1982738,1786828,4595472
107,65536,1807405,1831672,4434544
108,65536,1811024,1828300,4484468
109,65536,1806198,1757847,4556484
110,65536,1940089,1785727,4595396
111,65536,1808357,1798468,4438512
112,65536,1772003,1798315,4397132
113,65536,1776679,1763095,4438564
114,65536,1806299,1793138,4389218
115,65536,1776084,1793234,4573716
116,65536,1772066,1791782,4383510
117,65536,1933360,1796441,4696220
118,65536,1851087,1860857,4386762
119,65536,1776811,2017429,4529212
120,65536,1774089,1821451,4703950
121,65536,1778503,1790598,4959968
122,65536,1814752,1795496,4436768
123,65536,1770617,1983013,4448416
124,65536,1771011,2100182,4395604
125,65536,1844327,1791951,4437010
126,65536,1775178,1779301,4490234
127,65536,1805910,1760635,4427726
128,65536,1773206,1782722,4403178
129,65536,1855937,1757483,4529460
130,65536,1774343,1785418,4602584
131,65536,1852828,1758862,4442932
132,65536,1775360,1788318,4398288
133,65536,1826915,1756767,4434628
134,65536,1773795,1818835,4384324
135,65536,1817542,1755585,4442122
136,65536,1805463,1817003,4689850
137,65536,1773623,1751936,4437922
138,65536,1826380,1792078,4390992
139,65536,1772792,1793565,4616288
140,65536,1814598,1883597,4397700
141,65536,1822864,1752424,4469288
142,65536,1774289,1785368,4402262
143,65536,1782435,1640104,4016174
144,65536,1642685,1614092,4209552
145,65536,1599434,1588141,4157742
146,65536,1793477,1665649,3972104
147,65536,1601704,1690750,4128242
148,65536,1606878,1616338,4114958
149,65536,1646092,1636624,4254528
150,65536,1601831,1905924,4081456
151,65536,1814366,1626083,4108038
152,65536,1661404,1898789,4058930
153,65536,1792501,1638073,4236756
154,65536,1709567,1654991,4087682
155,65536,1600323,1659127,4121144
156,65536,2184576,2618111,4114106
157,65536,2498264,2485743,6293492
158,65536,2517259,2535553,6196460
159,65536,2500035,2485716,6253356
160,65536,2502987,2518090,6197024
161,65536,2505382,2482325,6270552
162,65536,2555601,2527703,6202482
163,65536,2212938,2163103,5445658
164,65536,2116577,1948507,4779126
165,65536,1932662,1713778,4685548
166,65536,1924845,1742642,4472064
167,65536,1613296,1757198,4738178
168,65536,1617300,1840443,3977284
169,65536,1646008,1587435,4373018
170,65536,1602624,1648425,4084154
171,65536,1946601,1805854,4590164
172,65536,1747104,1827354,4331406
173,65536,1745059,1659122,4240402
174,65536,1670101,1657274,4135274
175,65536,1604642,1640915,4127634
176,65536,1660154,1615091,4100024
177,65536,1696162,1689161,4011900
178,65536,1602870,1607185,4086198
179,65536,1649154,1654705,4359844
180,65536,1603371,1796731,4093264
181,65536,1824526,1632998,4238858
182,65536,1603660,1797331,4075200
183,65536,1643128,1692386,4011756
184,65536,1655690,1616813,4087438
185,65536,1670390,1593833,4014892
186,65536,1639861,1658540,4109000
187,65536,1700662,1634227,4015290
188,65536,1752754,1664692,3977346
189,65536,1603469,1779498,4656346
190,65536,1832600,1802111,4206618
191,65536,1690301,1724972,4462348
192,65536,1742741,1661092,3971946
193,65536,1663930,1588772,4146394
194,65536,1602132,1761281,4210854
195,65536,1601420,1590722,4010058
196,65536,1649902,1612315,4152644
197,65536,1840125,1641196,4015030
198,65536,1605400,1622168,4226884
199,65536,1677745,1701037,4195116
200,65536,1780842,1604988,4086944
201,65536,1643858,1681566,4012918
202,65536,1695463,1703436,4350184
203,65536,1603930,1590867,4245996
204,65536,1656530,1662923,3977748
205,65536,1602400,1590401,4510208
206,65536,1644515,1663912,3970466
207,65536,1778838,1591290,4122812
208,65536,1647200,1749934,3967578
209,65536,1724078,1744795,4013744
210,65536,1644618,1610382,4101872
211,65536,1602609,1582792,4053084
212,65536,1750515,1657788,4083846
213,65536,1605019,1775356,4128046
214,65536,1711530,1619324,4102726
215,65536,1787562,1646551,4240826
216,65536,1599315,1612433,4083302
217,65536,1740323,1631222,4062238
218,65536,1603460,1618660,4082140
219,65536,1789793,1735846,4645190
220,65536,1672800,1663852,4136974
221,65536,1683029,1667701,4115376
222,65536,1659496,1619060,4238060
223,65536,1601443,1681077,4248874
224,65536,1758844,1710837,3974052
225,65536,1742660,1691741,4017266
226,65536,1599923,1648484,4278062
227,65536,1600080,1588243,4110764
228,65536,1735505,1661445,4025352
229,65536,1824662,2095402,5884358
230,65536,2102679,2036143,5790246
231,65536,1980338,2008420,4960884
232,65536,2056702,2011077,5090538
233,65536,2023364,1966189,4969678
234,65536,1985271,1999652,5002762
235,65536,1983492,2086374,4960200
236,65536,1978379,1995107,4920776
237,65536,2028584,1969000,4965232
238,65536,2072771,2002852,4923656
239,65536,1983943,1969363,4971520
240,65536,1982950,2004223,4917484
241,65536,1979132,1967114,5359872
242,65536,1981047,1991457,4912362
243,65536,1984863,1967832,4974170
244,65536,1987654,1986226,4922224
245,65536,1857009,1785212,4438412
246,65536,1772890,1608031,4161996
247,65536,1598889,1683646,4015582
248,65536,1795422,1781653,4105448
249,65536,2361021,1808784,5239660
250,65536,1748360,2288259,4303938
251,65536,1754263,1965594,5375506
252,65536,1743441,1855248,4518864
253,65536,1690159,1676299,4106528
254,65536,1684717,1656121,4188020
255,65536,1689880,1714543,4117370
256,65536,1638109,1925375,4172552
257,65536,2081559,1717419,4421820
258,65536,1723519,1742985,4290038
259,65536,1768702,2563058,4314138
260,65536,2781547,2356716,5845174
261,65536,2336168,2311311,5836344
262,65536,2336380,2334116,5790566
